Orthogroup	P_fucata_2	C_virginica_2
OG0000000	P_fucata|Pma_10011348	C_virginica|XP_022320371.1
OG0000003	P_fucata|Pma_10016768, P_fucata|Pma_10018667	C_virginica|XP_022337452.1
OG0000003	P_fucata|Pma_10005546	C_virginica|XP_022296188.1, C_virginica|XP_022301452.1
OG0000003	P_fucata|Pma_10010620, P_fucata|Pma_10029768	C_virginica|XP_022305689.1, C_virginica|XP_022309521.1
OG0000003	P_fucata|Pma_10026467, P_fucata|Pma_10026468	C_virginica|XP_022339384.1, C_virginica|XP_022328733.1, C_virginica|XP_022335146.1, C_virginica|XP_022330423.1, C_virginica|XP_022328732.1, C_virginica|XP_022335114.1, C_virginica|XP_022333687.1, C_virginica|XP_022333991.1, C_virginica|XP_022333686.1, C_virginica|XP_022333990.1
OG0000003	P_fucata|Pma_10003317	C_virginica|XP_022343542.1
OG0000003	P_fucata|Pma_231.16, P_fucata|Pma_10014369, P_fucata|Pma_10026952, P_fucata|Pma_10012847, P_fucata|Pma_10031664, P_fucata|Pma_10031663, P_fucata|Pma_10008865, P_fucata|Pma_10004263, P_fucata|Pma_10006091, P_fucata|Pma_10024776, P_fucata|Pma_10024777, P_fucata|Pma_10024778	C_virginica|XP_022309038.1, C_virginica|XP_022331274.1, C_virginica|XP_022337605.1, C_virginica|XP_022345326.1, C_virginica|XP_022310239.1, C_virginica|XP_022310854.1, C_virginica|XP_022310240.1, C_virginica|XP_022310856.1
OG0000003	P_fucata|Pma_10.1359	C_virginica|XP_022339391.1
OG0000003	P_fucata|Pma_10004519, P_fucata|Pma_10004520, P_fucata|Pma_145.761, P_fucata|Pma_10002742, P_fucata|Pma_1.232, P_fucata|Pma_201.324, P_fucata|Pma_10007192, P_fucata|Pma_10028043, P_fucata|Pma_10021077, P_fucata|Pma_10001023, P_fucata|Pma_10021076, P_fucata|Pma_453.236, P_fucata|Pma_5.1168	C_virginica|XP_022332278.1
OG0000003	P_fucata|Pma_10012077, P_fucata|Pma_10010621, P_fucata|Pma_10013353, P_fucata|Pma_10027183, P_fucata|Pma_10022603, P_fucata|Pma_328.141, P_fucata|Pma_10002536, P_fucata|Pma_10031633	C_virginica|XP_022344015.1, C_virginica|XP_022344065.1, C_virginica|XP_022335781.1, C_virginica|XP_022343659.1
OG0000003	P_fucata|Pma_10029981, P_fucata|Pma_10029982, P_fucata|Pma_10014538, P_fucata|Pma_10030213	C_virginica|XP_022295727.1, C_virginica|XP_022299926.1, C_virginica|XP_022295699.1, C_virginica|XP_022295728.1
OG0000003	P_fucata|Pma_424.232, P_fucata|Pma_10029971, P_fucata|Pma_10018092	C_virginica|XP_022304396.1
OG0000004	P_fucata|Pma_10025331	C_virginica|XP_022305030.1, C_virginica|XP_022307818.1, C_virginica|XP_022309553.1, C_virginica|XP_022305396.1, C_virginica|XP_022305401.1, C_virginica|XP_022305395.1, C_virginica|XP_022305399.1, C_virginica|XP_022309506.1, C_virginica|XP_022305402.1, C_virginica|XP_022307795.1, C_virginica|XP_022304875.1, C_virginica|XP_022304915.1, C_virginica|XP_022307845.1, C_virginica|XP_022310759.1, C_virginica|XP_022303548.1, C_virginica|XP_022303685.1, C_virginica|XP_022304882.1, C_virginica|XP_022307830.1, C_virginica|XP_022303356.1, C_virginica|XP_022303357.1, C_virginica|XP_022309674.1, C_virginica|XP_022304878.1, C_virginica|XP_022307750.1, C_virginica|XP_022307748.1, C_virginica|XP_022307793.1, C_virginica|XP_022304886.1, C_virginica|XP_022308423.1, C_virginica|XP_022338718.1, C_virginica|XP_022310878.1, C_virginica|XP_022304173.1, C_virginica|XP_022307370.1, C_virginica|XP_022306978.1, C_virginica|XP_022326735.1, C_virginica|XP_022303340.1, C_virginica|XP_022303344.1, C_virginica|XP_022307015.1, C_virginica|XP_022290176.1, C_virginica|XP_022306990.1, C_virginica|XP_022303346.1, C_virginica|XP_022303537.1, C_virginica|XP_022311697.1, C_virginica|XP_022311693.1, C_virginica|XP_022311848.1, C_virginica|XP_022312694.1, C_virginica|XP_022303619.1, C_virginica|XP_022301088.1, C_virginica|XP_022300903.1, C_virginica|XP_022310960.1, C_virginica|XP_022311843.1, C_virginica|XP_022304174.1, C_virginica|XP_022303488.1, C_virginica|XP_022306996.1, C_virginica|XP_022306937.1, C_virginica|XP_022306955.1, C_virginica|XP_022305756.1, C_virginica|XP_022307862.1, C_virginica|XP_022304367.1, C_virginica|XP_022307874.1, C_virginica|XP_022305386.1, C_virginica|XP_022305752.1, C_virginica|XP_022305387.1, C_virginica|XP_022305382.1, C_virginica|XP_022305737.1, C_virginica|XP_022305742.1, C_virginica|XP_022305748.1, C_virginica|XP_022309955.1, C_virginica|XP_022305738.1, C_virginica|XP_022306484.1, C_virginica|XP_022307879.1, C_virginica|XP_022307866.1, C_virginica|XP_022307837.1, C_virginica|XP_022305760.1, C_virginica|XP_022305088.1, C_virginica|XP_022305732.1, C_virginica|XP_022305385.1, C_virginica|XP_022309507.1, C_virginica|XP_022307841.1, C_virginica|XP_022303550.1, C_virginica|XP_022307870.1, C_virginica|XP_022307883.1, C_virginica|XP_022307844.1, C_virginica|XP_022305729.1, C_virginica|XP_022305735.1, C_virginica|XP_022304592.1, C_virginica|XP_022304600.1, C_virginica|XP_022306488.1, C_virginica|XP_022304591.1, C_virginica|XP_022304917.1, C_virginica|XP_022307884.1, C_virginica|XP_022309926.1, C_virginica|XP_022304589.1, C_virginica|XP_022310709.1, C_virginica|XP_022306485.1, C_virginica|XP_022305080.1, C_virginica|XP_022305741.1, C_virginica|XP_022305757.1, C_virginica|XP_022308373.1, C_virginica|XP_022307871.1, C_virginica|XP_022307835.1
OG0000004	P_fucata|Pma_10021546	C_virginica|XP_022306864.1, C_virginica|XP_022307682.1, C_virginica|XP_022309512.1, C_virginica|XP_022309842.1, C_virginica|XP_022292876.1, C_virginica|XP_022308432.1, C_virginica|XP_022306863.1, C_virginica|XP_022307426.1, C_virginica|XP_022307677.1, C_virginica|XP_022307962.1, C_virginica|XP_022290581.1, C_virginica|XP_022307702.1, C_virginica|XP_022308442.1, C_virginica|XP_022307726.1, C_virginica|XP_022305270.1, C_virginica|XP_022307760.1, C_virginica|XP_022307060.1, C_virginica|XP_022308515.1, C_virginica|XP_022309687.1, C_virginica|XP_022309653.1, C_virginica|XP_022307062.1, C_virginica|XP_022307742.1, C_virginica|XP_022306155.1, C_virginica|XP_022303399.1, C_virginica|XP_022307722.1, C_virginica|XP_022307769.1, C_virginica|XP_022310311.1, C_virginica|XP_022306746.1, C_virginica|XP_022307761.1, C_virginica|XP_022307885.1, C_virginica|XP_022309673.1, C_virginica|XP_022307756.1, C_virginica|XP_022309374.1, C_virginica|XP_022308427.1, C_virginica|XP_022306748.1, C_virginica|XP_022309678.1, C_virginica|XP_022306229.1, C_virginica|XP_022288791.1, C_virginica|XP_022309677.1, C_virginica|XP_022307728.1, C_virginica|XP_022307729.1, C_virginica|XP_022286717.1, C_virginica|XP_022290620.1, C_virginica|XP_022286479.1, C_virginica|XP_022288574.1, C_virginica|XP_022287415.1, C_virginica|XP_022289418.1, C_virginica|XP_022289654.1, C_virginica|XP_022289715.1, C_virginica|XP_022289949.1, C_virginica|XP_022289447.1, C_virginica|XP_022289967.1, C_virginica|XP_022289938.1, C_virginica|XP_022290649.1, C_virginica|XP_022289727.1, C_virginica|XP_022297668.1, C_virginica|XP_022287464.1, C_virginica|XP_022290289.1, C_virginica|XP_022289935.1, C_virginica|XP_022289706.1, C_virginica|XP_022305518.1, C_virginica|XP_022306742.1, C_virginica|XP_022309654.1, C_virginica|XP_022309655.1, C_virginica|XP_022307732.1, C_virginica|XP_022294925.1, C_virginica|XP_022307839.1, C_virginica|XP_022307877.1
OG0000007	P_fucata|Pma_10017847	C_virginica|XP_022308431.1
OG0000007	P_fucata|Pma_10010607, P_fucata|Pma_532.177	C_virginica|XP_022307961.1
OG0000007	P_fucata|Pma_10001157	C_virginica|XP_022316903.1
OG0000007	P_fucata|Pma_10023863	C_virginica|XP_022326937.1
OG0000007	P_fucata|Pma_10030419	C_virginica|XP_022292027.1
OG0000007	P_fucata|Pma_10006875, P_fucata|Pma_207.322	C_virginica|XP_022289925.1
OG0000007	P_fucata|Pma_10023861, P_fucata|Pma_10007466, P_fucata|Pma_10016649	C_virginica|XP_022328330.1
OG0000007	P_fucata|Pma_10016536	C_virginica|XP_022324615.1
OG0000007	P_fucata|Pma_10027249	C_virginica|XP_022320319.1, C_virginica|XP_022320653.1
OG0000007	P_fucata|Pma_10017849	C_virginica|XP_022340779.1
OG0000007	P_fucata|Pma_10008710	C_virginica|XP_022309837.1
OG0000008	P_fucata|Pma_10018523, P_fucata|Pma_10032670, P_fucata|Pma_10013104, P_fucata|Pma_10009170	C_virginica|XP_022336556.1
